figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,19,5495936,0.9266,4.369066666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,500,15000,0,2492284,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,500,15000,0,2492284,0.8832,2.1201333333333334,prediction_set_size,standard_reference,0.9895428034772384
Figure 8,ImageNet,SPI,0.05,0.95,15,500,15000,0,2492284,0.8842666666666666,2.1399333333333335,prediction_set_size,spi_fast_form,0.9899077538933593
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,500,15000,0,2492284,0.862,1.8354666666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,500,15000,1,6438288,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,500,15000,1,6438288,0.9111333333333334,3.0984,prediction_set_size,standard_reference,0.9974423973123439
Figure 8,ImageNet,SPI,0.05,0.95,15,500,15000,1,6438288,0.986,13.709133333333334,prediction_set_size,spi_fast_form,0.9999970513802754
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,500,15000,1,6438288,0.9374,5.2516,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,500,15000,2,275592,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,500,15000,2,275592,0.9042666666666667,2.842,prediction_set_size,standard_reference,0.9964514961224519
Figure 8,ImageNet,SPI,0.05,0.95,15,500,15000,2,275592,0.9602666666666667,7.51,prediction_set_size,spi_fast_form,0.9999192877007196
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,500,15000,2,275592,0.9590666666666666,7.4244666666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,500,15000,3,2731692,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,500,15000,3,2731692,0.874,2.013733333333333,prediction_set_size,standard_reference,0.9870207667939416
Figure 8,ImageNet,SPI,0.05,0.95,15,500,15000,3,2731692,0.9824666666666667,12.914666666666667,prediction_set_size,spi_fast_form,0.9999953978828906
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,500,15000,3,2731692,0.9820666666666666,12.798933333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,500,15000,4,1441594,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,500,15000,4,1441594,0.8864666666666666,2.207666666666667,prediction_set_size,standard_reference,0.9908770716563151
