"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"RSA-CP (OT) (Ours)",0.9605,9.85987937362172,0,"LogNormal",7,1000,1000
"SPI",0.9615,9.88096098880472,0.0299999999999998,"LogNormal",7,1000,1000
"Synthetic-only",0.931,8.24499937044285,0.02,"LogNormal",7,1000,1000
"SCP",0.962,9.95304620269546,0,"LogNormal",7,2000,2000
"RSA-CP (OT) (Ours)",0.9605,9.85987937362172,0,"LogNormal",7,2000,2000
"SPI",0.9745,11.6990364884146,0.04,"LogNormal",7,2000,2000
"Synthetic-only",0.9705,11.1604051480074,0,"LogNormal",7,2000,2000
"SCP",0.962,9.95304620269546,0,"LogNormal",7,3000,3000
"RSA-CP (OT) (Ours)",0.9605,9.85987937362172,0.00999999999999979,"LogNormal",7,3000,3000
"SPI",0.975,11.7429618759263,0.0500000000000003,"LogNormal",7,3000,3000
"Synthetic-only",0.9735,11.5792942380854,0,"LogNormal",7,3000,3000
