"Method","Cov","Width","Time","Dataset","Trial","Noise"
"SPI",0.9765,8.55510344561312,0.0300000000000011,"Student-t",7,1.5
"Synthetic-only",0.976,8.52311957844193,0,"Student-t",7,1.5
"SCP",0.954,6.75095751760722,0,"Student-t",7,2
"RSA-CP (OT) (Ours)",0.944,6.19538966718966,0,"Student-t",7,2
"SPI",0.982,9.51805034208617,0.0599999999999952,"Student-t",7,2
"Synthetic-only",0.985,10.0476413772201,0.00999999999999801,"Student-t",7,2
"SCP",0.954,6.75095751760722,0,"Student-t",7,3
"RSA-CP (OT) (Ours)",0.944,6.23660652973631,0,"Student-t",7,3
"SPI",0.982,9.51805034208617,0.0500000000000043,"Student-t",7,3
"Synthetic-only",0.995,12.7335104529064,0,"Student-t",7,3
"SCP",0.9675,9.69849314789709,0,"LogNormal",8,0.25
"RSA-CP (OT) (Ours)",0.9625,9.27436044758758,0,"LogNormal",8,0.25
"SPI",0.956,8.95523884126783,0.0499999999999972,"LogNormal",8,0.25
"Synthetic-only",0.7295,4.3058109096811,0,"LogNormal",8,0.25
"SCP",0.9675,9.69849314789709,0,"LogNormal",8,0.5
"RSA-CP (OT) (Ours)",0.9635,9.3518081339975,0.0200000000000031,"LogNormal",8,0.5
"SPI",0.956,8.95523884126783,0.0399999999999991,"LogNormal",8,0.5
"Synthetic-only",0.809,5.07899033891541,0,"LogNormal",8,0.5
"SCP",0.9675,9.69849314789709,0,"LogNormal",8,1
"RSA-CP (OT) (Ours)",0.9625,9.29372236919006,0,"LogNormal",8,1
"SPI",0.956,8.95523884126783,0.0499999999999972,"LogNormal",8,1
"Synthetic-only",0.899,6.59948592529558,0,"LogNormal",8,1
"SCP",0.9675,9.69849314789709,0,"LogNormal",8,1.5
"RSA-CP (OT) (Ours)",0.9605,9.23563660438262,0.0200000000000031,"LogNormal",8,1.5
"SPI",0.956,8.95523884126783,0.0399999999999991,"LogNormal",8,1.5
"Synthetic-only",0.939,8.2530267356276,0,"LogNormal",8,1.5
"SCP",0.9675,9.69849314789709,0,"LogNormal",8,2
"RSA-CP (OT) (Ours)",0.9625,9.29424290794932,0.0200000000000031,"LogNormal",8,2
"SPI",0.9705,9.9588925579907,0.0499999999999972,"LogNormal",8,2
"Synthetic-only",0.9705,9.95590438867646,0,"LogNormal",8,2
"SCP",0.9675,9.69849314789709,0,"LogNormal",8,3
"RSA-CP (OT) (Ours)",0.96,9.20052343329066,0,"LogNormal",8,3
"SPI",0.9865,12.9467525909293,0.0399999999999991,"LogNormal",8,3
"Synthetic-only",0.9865,12.8860181270733,0,"LogNormal",8,3
"SCP",0.9625,7.21289229165974,0,"Student-t",8,0.25
"RSA-CP (OT) (Ours)",0.9395,5.9388304285197,0.0200000000000031,"Student-t",8,0.25
"SPI",0.953,6.59947841746767,0.0399999999999991,"Student-t",8,0.25
"Synthetic-only",0.953,6.57397661878398,0,"Student-t",8,0.25
"SCP",0.9625,7.21289229165974,0,"Student-t",8,0.5
"RSA-CP (OT) (Ours)",0.94,5.98903907620464,0,"Student-t",8,0.5
"SPI",0.9425,6.16320428135581,0.0499999999999972,"Student-t",8,0.5
