"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"RSA-CP (OT) (Ours)",0.9315,8.02521085468104,0.0200000000000102,"LogNormal",98,3000,80
"SPI",0.9525,8.96993580002708,0.0799999999999841,"LogNormal",98,3000,80
"Synthetic-only",0.9565,9.24480089542391,0,"LogNormal",98,3000,80
"SCP",0.9695,7.01678869090736,0,"Student-t",98,3000,80
"RSA-CP (OT) (Ours)",0.9635,6.55699429425173,0.0100000000000193,"Student-t",98,3000,80
"SPI",0.982,8.20308988552809,0.0999999999999943,"Student-t",98,3000,80
"Synthetic-only",0.9925,11.6855850960375,0,"Student-t",98,3000,80
"SCP",0.927,7.82006853181877,0,"LogNormal",99,3000,80
"RSA-CP (OT) (Ours)",0.9215,7.65779870994615,0.00999999999999091,"LogNormal",99,3000,80
"SPI",0.976,11.5423011497321,0.0800000000000125,"LogNormal",99,3000,80
"Synthetic-only",0.9815,12.2328866344244,0,"LogNormal",99,3000,80
"SCP",0.9725,7.30452678218571,0,"Student-t",99,3000,80
"RSA-CP (OT) (Ours)",0.963,6.52937987533174,0,"Student-t",99,3000,80
"SPI",0.991,10.8346849110149,0.0900000000000034,"Student-t",99,3000,80
"Synthetic-only",0.9905,10.8138474712137,0,"Student-t",99,3000,80
"SCP",0.965,9.90826874302293,0,"LogNormal",100,3000,80
"RSA-CP (OT) (Ours)",0.963,9.75473546099606,0.0200000000000102,"LogNormal",100,3000,80
"SPI",0.9745,11.1917515292137,0.0900000000000034,"LogNormal",100,3000,80
"Synthetic-only",0.979,12.0009231572767,0,"LogNormal",100,3000,80
"SCP",0.9725,7.30468837957726,0,"Student-t",100,3000,80
"RSA-CP (OT) (Ours)",0.9675,6.78106245153517,0,"Student-t",100,3000,80
"SPI",0.9885,9.83167934828338,0.0900000000000034,"Student-t",100,3000,80
"Synthetic-only",0.992,11.6106482143364,0,"Student-t",100,3000,80
"SCP",0.9275,7.85247046896172,0,"LogNormal",1,3000,160
"RSA-CP (OT) (Ours)",0.9235,7.72761622568279,0.110000000000014,"LogNormal",1,3000,160
"SPI",0.9525,8.98451636191641,0.189999999999998,"LogNormal",1,3000,160
"Synthetic-only",0.9815,12.2712552182914,0,"LogNormal",1,3000,160
"SCP",0.96,6.42188680168536,0,"Student-t",1,3000,160
"RSA-CP (OT) (Ours)",0.958,6.28048775306502,0.0699999999999932,"Student-t",1,3000,160
"SPI",0.974,7.37387955964865,0.180000000000007,"Student-t",1,3000,160
"Synthetic-only",0.9945,12.1776329384906,0,"Student-t",1,3000,160
"SCP",0.966,10.0969237244954,0,"LogNormal",2,3000,160
"RSA-CP (OT) (Ours)",0.962,9.62979868123548,0.0300000000000011,"LogNormal",2,3000,160
"SPI",0.954,9.12741881996912,0.189999999999998,"LogNormal",2,3000,160
"Synthetic-only",0.9525,8.97945810045173,0,"LogNormal",2,3000,160
"SCP",0.9855,8.97641703016151,0,"Student-t",2,3000,160
"RSA-CP (OT) (Ours)",0.982,8.36725506767383,0.0500000000000114,"Student-t",2,3000,160
"SPI",0.9895,10.0813025300934,0.169999999999987,"Student-t",2,3000,160
"Synthetic-only",0.991,10.8728448521557,0,"Student-t",2,3000,160
"SCP",0.9505,8.82110917075981,0,"LogNormal",3,3000,160
"RSA-CP (OT) (Ours)",0.948,8.58597926213685,0.00999999999999091,"LogNormal",3,3000,160
"SPI",0.954,9.13171879052359,0.189999999999998,"LogNormal",3,3000,160
"Synthetic-only",0.96,9.46019913137739,0.0200000000000102,"LogNormal",3,3000,160
"SCP",0.9825,8.59545917947531,0,"Student-t",3,3000,160
"RSA-CP (OT) (Ours)",0.982,8.43432572341793,0.0100000000000193,"Student-t",3,3000,160
"SPI",0.9855,8.97437066293437,0.239999999999981,"Student-t",3,3000,160
"Synthetic-only",0.9905,10.8289109298265,0,"Student-t",3,3000,160
"SCP",0.9245,7.76796660669497,0,"LogNormal",4,3000,160
"RSA-CP (OT) (Ours)",0.924,7.73532996958946,0,"LogNormal",4,3000,160
"SPI",0.9565,9.23307278404654,0.179999999999978,"LogNormal",4,3000,160
"Synthetic-only",0.989,13.9930002504238,0.0100000000000193,"LogNormal",4,3000,160
"SCP",0.963,6.51452239249547,0,"Student-t",4,3000,160
"RSA-CP (OT) (Ours)",0.956,6.12350488047722,0,"Student-t",4,3000,160
"SPI",0.982,8.27300301024315,0.169999999999987,"Student-t",4,3000,160
"Synthetic-only",0.992,11.542747008181,0,"Student-t",4,3000,160
"SCP",0.942,8.36340055481405,0,"LogNormal",5,3000,160
"RSA-CP (OT) (Ours)",0.939,8.21483732701137,0.00999999999999091,"LogNormal",5,3000,160
"SPI",0.946,8.53564171445238,0.180000000000007,"LogNormal",5,3000,160
"Synthetic-only",0.954,9.13953500070702,0,"LogNormal",5,3000,160
"SCP",0.972,7.19086393370349,0,"Student-t",5,3000,160
"RSA-CP (OT) (Ours)",0.9685,6.95138459582266,0.00999999999999091,"Student-t",5,3000,160
"SPI",0.975,7.49573261300286,0.170000000000016,"Student-t",5,3000,160
"Synthetic-only",0.993,11.714668908861,0,"Student-t",5,3000,160
"SCP",0.973,11.0165317562725,0,"LogNormal",6,3000,160
"RSA-CP (OT) (Ours)",0.953,9.0137573315339,0,"LogNormal",6,3000,160
"SPI",0.977,11.6380857528231,0.189999999999998,"LogNormal",6,3000,160
"Synthetic-only",0.983,12.6482617238504,0.0200000000000102,"LogNormal",6,3000,160
"SCP",0.971,7.10576973281398,0,"Student-t",6,3000,160
"RSA-CP (OT) (Ours)",0.959,6.32879794889415,0.0100000000000193,"Student-t",6,3000,160
"SPI",0.981,7.99201435602777,0.169999999999987,"Student-t",6,3000,160
"Synthetic-only",0.9935,11.848706604214,0,"Student-t",6,3000,160
"SCP",0.9765,11.5823552253746,0,"LogNormal",7,3000,160
"RSA-CP (OT) (Ours)",0.9765,11.5592515891493,0.0200000000000102,"LogNormal",7,3000,160
"SPI",0.9725,10.9216790903811,0.169999999999987,"LogNormal",7,3000,160
"Synthetic-only",0.93,7.95079869259468,0,"LogNormal",7,3000,160
"SCP",0.977,7.64546129376127,0,"Student-t",7,3000,160
"RSA-CP (OT) (Ours)",0.976,7.51722305821276,0.0200000000000102,"Student-t",7,3000,160
"SPI",0.9865,9.13965411351541,0.169999999999987,"Student-t",7,3000,160
"Synthetic-only",0.9935,11.8396905758098,0,"Student-t",7,3000,160
"SCP",0.9225,7.69954691368576,0,"LogNormal",8,3000,160
"RSA-CP (OT) (Ours)",0.9185,7.57417726188968,0,"LogNormal",8,3000,160
"SPI",0.939,8.21584167136676,0.180000000000007,"LogNormal",8,3000,160
"Synthetic-only",0.989,13.9621584336746,0,"LogNormal",8,3000,160
"SCP",0.973,7.32486325793481,0,"Student-t",8,3000,160
"RSA-CP (OT) (Ours)",0.9675,6.77995216226204,0.0199999999999818,"Student-t",8,3000,160
"SPI",0.987,9.21408965727489,0.170000000000016,"Student-t",8,3000,160
"Synthetic-only",0.993,11.7960737425231,0,"Student-t",8,3000,160
"SCP",0.9325,8.05918331303326,0,"LogNormal",9,3000,160
"RSA-CP (OT) (Ours)",0.929,7.92276401544974,0.0199999999999818,"LogNormal",9,3000,160
"SPI",0.9505,8.81859080586697,0.180000000000007,"LogNormal",9,3000,160
"Synthetic-only",0.9515,8.86683478942974,0,"LogNormal",9,3000,160
"SCP",0.9655,6.69274280042053,0,"Student-t",9,3000,160
"RSA-CP (OT) (Ours)",0.963,6.52937987533174,0,"Student-t",9,3000,160
"SPI",0.983,8.60915788156064,0.189999999999998,"Student-t",9,3000,160
"Synthetic-only",0.9915,11.0164475599782,0,"Student-t",9,3000,160
"SCP",0.9305,8.00157170556231,0,"LogNormal",10,3000,160
"RSA-CP (OT) (Ours)",0.93,7.95524550918144,0.0200000000000102,"LogNormal",10,3000,160
"SPI",0.945,8.48553894987326,0.169999999999987,"LogNormal",10,3000,160
"Synthetic-only",0.9665,10.1527803435666,0,"LogNormal",10,3000,160
"SCP",0.958,6.24168603271834,0,"Student-t",10,3000,160
"RSA-CP (OT) (Ours)",0.952,5.93745514235729,0.0100000000000193,"Student-t",10,3000,160
"SPI",0.963,6.50007510136197,0.179999999999978,"Student-t",10,3000,160
"Synthetic-only",0.9915,11.1414723390939,0,"Student-t",10,3000,160
"SCP",0.9525,8.94411271448548,0,"LogNormal",11,3000,160
"RSA-CP (OT) (Ours)",0.9515,8.85970016522935,0.0199999999999818,"LogNormal",11,3000,160
"SPI",0.953,9.04955458784781,0.170000000000016,"LogNormal",11,3000,160
"Synthetic-only",0.953,9.01655092450172,0,"LogNormal",11,3000,160
"SCP",0.9805,7.87293019430711,0,"Student-t",11,3000,160
"RSA-CP (OT) (Ours)",0.974,7.35989155477234,0.00999999999999091,"Student-t",11,3000,160
"SPI",0.982,8.29474666433701,0.180000000000007,"Student-t",11,3000,160
"Synthetic-only",0.9915,11.1489743151836,0,"Student-t",11,3000,160
"SCP",0.9435,8.41942375106117,0,"LogNormal",12,3000,160
"RSA-CP (OT) (Ours)",0.941,8.27219408284024,0,"LogNormal",12,3000,160
"SPI",0.9505,8.84214784769733,0.189999999999998,"LogNormal",12,3000,160
"Synthetic-only",0.963,9.72957367854545,0,"LogNormal",12,3000,160
"SCP",0.965,6.64885430411025,0,"Student-t",12,3000,160
"RSA-CP (OT) (Ours)",0.9645,6.5996339156408,0,"Student-t",12,3000,160
"SPI",0.9775,7.67984748937446,0.189999999999998,"Student-t",12,3000,160
"Synthetic-only",0.9935,11.8510344774909,0,"Student-t",12,3000,160
"SCP",0.963,9.78083273031823,0,"LogNormal",13,3000,160
"RSA-CP (OT) (Ours)",0.9605,9.48279934321961,0.0100000000000193,"LogNormal",13,3000,160
"SPI",0.98,12.1227793072004,0.169999999999987,"LogNormal",13,3000,160
"Synthetic-only",0.9875,13.6217774846618,0,"LogNormal",13,3000,160
"SCP",0.9505,5.83056778069372,0,"Student-t",13,3000,160
"RSA-CP (OT) (Ours)",0.948,5.69195504197005,0.0200000000000102,"Student-t",13,3000,160
"SPI",0.974,7.37684487818698,0.169999999999987,"Student-t",13,3000,160
"Synthetic-only",0.9915,11.0610173769577,0,"Student-t",13,3000,160
"SCP",0.9485,8.62145483174572,0,"LogNormal",14,3000,160
"RSA-CP (OT) (Ours)",0.9465,8.55196662286653,0,"LogNormal",14,3000,160
"SPI",0.9485,8.64720926464113,0.189999999999998,"LogNormal",14,3000,160
"Synthetic-only",0.9485,8.63167304626468,0.00999999999999091,"LogNormal",14,3000,160
"SCP",0.928,5.05753177544797,0,"Student-t",14,3000,160
"RSA-CP (OT) (Ours)",0.927,5.02255125345396,0.00999999999999091,"Student-t",14,3000,160
"SPI",0.9595,6.40045285499465,0.170000000000016,"Student-t",14,3000,160
"Synthetic-only",0.99,10.5793940871034,0,"Student-t",14,3000,160
"SCP",0.9335,8.07062994725071,0,"LogNormal",15,3000,160
"RSA-CP (OT) (Ours)",0.93,7.95467703007151,0,"LogNormal",15,3000,160
"SPI",0.9405,8.24763179958798,0.189999999999998,"LogNormal",15,3000,160
"Synthetic-only",0.94,8.23344737384713,0,"LogNormal",15,3000,160
"SCP",0.956,6.116542593968,0,"Student-t",15,3000,160
"RSA-CP (OT) (Ours)",0.952,5.97438826074209,0.0100000000000193,"Student-t",15,3000,160
"SPI",0.963,6.53182775182046,0.169999999999987,"Student-t",15,3000,160
"Synthetic-only",0.9915,11.4073688816739,0,"Student-t",15,3000,160
"SCP",0.9615,9.54598552025502,0,"LogNormal",16,3000,160
"RSA-CP (OT) (Ours)",0.9595,9.33948767535221,0,"LogNormal",16,3000,160
"SPI",0.9695,10.5898745156837,0.189999999999998,"LogNormal",16,3000,160
"Synthetic-only",0.989,13.7783830161406,0,"LogNormal",16,3000,160
"SCP",0.9635,6.54337485548019,0,"Student-t",16,3000,160
"RSA-CP (OT) (Ours)",0.9615,6.45657619473974,0,"Student-t",16,3000,160
"SPI",0.974,7.42469300241694,0.180000000000007,"Student-t",16,3000,160
"Synthetic-only",0.9945,12.115670485884,0,"Student-t",16,3000,160
"SCP",0.9215,7.68470528981475,0,"LogNormal",17,3000,160
"RSA-CP (OT) (Ours)",0.9205,7.60872982221075,0.0199999999999818,"LogNormal",17,3000,160
"SPI",0.929,7.91989528573214,0.170000000000016,"LogNormal",17,3000,160
"Synthetic-only",0.9595,9.38817694572453,0,"LogNormal",17,3000,160
"SCP",0.958,6.28405769281432,0,"Student-t",17,3000,160
"RSA-CP (OT) (Ours)",0.957,6.1934093883272,0.0199999999999818,"Student-t",17,3000,160
"SPI",0.9635,6.54593962167819,0.170000000000016,"Student-t",17,3000,160
"Synthetic-only",0.993,11.7368523763567,0,"Student-t",17,3000,160
"SCP",0.963,9.8248439097191,0,"LogNormal",18,3000,160
"RSA-CP (OT) (Ours)",0.953,9.0137573315339,0,"LogNormal",18,3000,160
"SPI",0.9525,8.88468307907571,0.180000000000007,"LogNormal",18,3000,160
"Synthetic-only",0.948,8.59839181906286,0,"LogNormal",18,3000,160
"SCP",0.9645,6.5748994549827,0,"Student-t",18,3000,160
"RSA-CP (OT) (Ours)",0.963,6.51995735537858,0.00999999999999091,"Student-t",18,3000,160
"SPI",0.983,8.61058232385538,0.189999999999998,"Student-t",18,3000,160
"Synthetic-only",0.9915,11.3181098383531,0,"Student-t",18,3000,160
"SCP",0.965,9.90286932267129,0,"LogNormal",19,3000,160
"RSA-CP (OT) (Ours)",0.9595,9.38512172722724,0.0200000000000102,"LogNormal",19,3000,160
"SPI",0.9415,8.34885877374861,0.169999999999987,"LogNormal",19,3000,160
"Synthetic-only",0.9405,8.24511492371098,0,"LogNormal",19,3000,160
"SCP",0.9685,6.93724805455204,0,"Student-t",19,3000,160
"RSA-CP (OT) (Ours)",0.966,6.71966914677019,0.0100000000000193,"Student-t",19,3000,160
"SPI",0.974,7.41714052560206,0.169999999999987,"Student-t",19,3000,160
"Synthetic-only",0.9915,11.3884969552155,0,"Student-t",19,3000,160
"SCP",0.9525,8.87605094621733,0,"LogNormal",20,3000,160
"RSA-CP (OT) (Ours)",0.9505,8.80934738813355,0,"LogNormal",20,3000,160
"SPI",0.965,9.91674847902311,0.189999999999998,"LogNormal",20,3000,160
"Synthetic-only",0.9815,12.3713876854786,0,"LogNormal",20,3000,160
"SCP",0.958,6.23340635187463,0,"Student-t",20,3000,160
"RSA-CP (OT) (Ours)",0.9565,6.13920345783813,0,"Student-t",20,3000,160
"SPI",0.976,7.56386852966303,0.189999999999998,"Student-t",20,3000,160
"Synthetic-only",0.9925,11.7012086662338,0,"Student-t",20,3000,160
"SCP",0.928,7.88256961031601,0,"LogNormal",21,3000,160
"RSA-CP (OT) (Ours)",0.9245,7.77295357776489,0.00999999999999091,"LogNormal",21,3000,160
"SPI",0.9365,8.15189966411926,0.170000000000016,"LogNormal",21,3000,160
"Synthetic-only",0.941,8.28916009197916,0,"LogNormal",21,3000,160
"SCP",0.9665,6.72458832242164,0,"Student-t",21,3000,160
"RSA-CP (OT) (Ours)",0.9645,6.56957882535338,0.0199999999999818,"Student-t",21,3000,160
"SPI",0.968,6.90244167533537,0.189999999999998,"Student-t",21,3000,160
"Synthetic-only",0.994,11.9540546754642,0,"Student-t",21,3000,160
"SCP",0.924,7.73784384406997,0,"LogNormal",22,3000,160
"RSA-CP (OT) (Ours)",0.914,7.42516213559948,0.0100000000000193,"LogNormal",22,3000,160
"SPI",0.927,7.82466672927598,0.169999999999987,"LogNormal",22,3000,160
"Synthetic-only",0.927,7.81820810751669,0,"LogNormal",22,3000,160
"SCP",0.9695,7.03981946046534,0,"Student-t",22,3000,160
"RSA-CP (OT) (Ours)",0.9695,6.97998099984569,0.0200000000000102,"Student-t",22,3000,160
"SPI",0.9785,7.75756819653621,0.169999999999987,"Student-t",22,3000,160
"Synthetic-only",0.9945,12.1145392418031,0,"Student-t",22,3000,160
"SCP",0.908,7.17111547408157,0,"LogNormal",23,3000,160
"RSA-CP (OT) (Ours)",0.904,7.08202437085246,0,"LogNormal",23,3000,160
"SPI",0.9495,8.75006620277145,0.169999999999987,"LogNormal",23,3000,160
"Synthetic-only",0.989,13.8677360664385,0,"LogNormal",23,3000,160
"SCP",0.9555,6.09135095465308,0,"Student-t",23,3000,160
"RSA-CP (OT) (Ours)",0.9535,6.00817476652394,0.0100000000000193,"Student-t",23,3000,160
"SPI",0.974,7.37727020193581,0.179999999999978,"Student-t",23,3000,160
"Synthetic-only",0.9945,12.1696381848686,0,"Student-t",23,3000,160
"SCP",0.9185,7.5717980458107,0,"LogNormal",24,3000,160
"RSA-CP (OT) (Ours)",0.916,7.46465264159731,0.0199999999999818,"LogNormal",24,3000,160
"SPI",0.938,8.19109747254213,0.170000000000016,"LogNormal",24,3000,160
"Synthetic-only",0.985,13.0922152056165,0,"LogNormal",24,3000,160
"SCP",0.969,6.96059721355137,0,"Student-t",24,3000,160
"RSA-CP (OT) (Ours)",0.9675,6.76178062686339,0,"Student-t",24,3000,160
"SPI",0.982,8.23744660251031,0.180000000000007,"Student-t",24,3000,160
"Synthetic-only",0.9935,11.8976328644328,0,"Student-t",24,3000,160
"SCP",0.972,10.841798019074,0,"LogNormal",25,3000,160
"RSA-CP (OT) (Ours)",0.972,10.767294167261,0,"LogNormal",25,3000,160
"SPI",0.9695,10.5898745156837,0.189999999999998,"LogNormal",25,3000,160
"Synthetic-only",0.9365,8.15285542190329,0,"LogNormal",25,3000,160
"SCP",0.9305,5.18121468094984,0,"Student-t",25,3000,160
"RSA-CP (OT) (Ours)",0.929,5.13685800549782,0.0200000000000102,"Student-t",25,3000,160
"SPI",0.9425,5.55080155956231,0.169999999999987,"Student-t",25,3000,160
"Synthetic-only",0.9895,10.4789217239722,0,"Student-t",25,3000,160
"SCP",0.967,10.2109899979679,0,"LogNormal",26,3000,160
"RSA-CP (OT) (Ours)",0.9605,9.51961579612054,0.0100000000000193,"LogNormal",26,3000,160
"SPI",0.9315,8.02543132039598,0.169999999999987,"LogNormal",26,3000,160
"Synthetic-only",0.93,7.9526139899084,0,"LogNormal",26,3000,160
"SCP",0.979,7.80131932869495,0,"Student-t",26,3000,160
"RSA-CP (OT) (Ours)",0.978,7.74789143368769,0.0200000000000102,"Student-t",26,3000,160
"SPI",0.981,7.97390541624963,0.189999999999998,"Student-t",26,3000,160
"Synthetic-only",0.994,12.0083573056754,0,"Student-t",26,3000,160
"SCP",0.922,7.69314822950617,0,"LogNormal",27,3000,160
"RSA-CP (OT) (Ours)",0.9115,7.34850654365927,0.00999999999999091,"LogNormal",27,3000,160
"SPI",0.932,8.04897424535021,0.180000000000007,"LogNormal",27,3000,160
"Synthetic-only",0.9305,7.99326330157858,0,"LogNormal",27,3000,160
"SCP",0.966,6.71046639974392,0,"Student-t",27,3000,160
"RSA-CP (OT) (Ours)",0.9645,6.58928244299534,0.00999999999999091,"Student-t",27,3000,160
"SPI",0.987,9.2496286689186,0.170000000000016,"Student-t",27,3000,160
"Synthetic-only",0.9945,12.5836810908216,0,"Student-t",27,3000,160
"SCP",0.939,8.2112568865289,0,"LogNormal",28,3000,160
"RSA-CP (OT) (Ours)",0.929,7.92523809843957,0,"LogNormal",28,3000,160
"SPI",0.9455,8.52131337811205,0.189999999999998,"LogNormal",28,3000,160
"Synthetic-only",0.987,13.3975531277859,0,"LogNormal",28,3000,160
"SCP",0.9845,8.85199208232282,0,"Student-t",28,3000,160
"RSA-CP (OT) (Ours)",0.983,8.65344825227779,0,"Student-t",28,3000,160
"SPI",0.9915,11.4249615297564,0.180000000000007,"Student-t",28,3000,160
"Synthetic-only",0.9915,11.4135379121197,0,"Student-t",28,3000,160
"SCP",0.9415,8.33214181844891,0,"LogNormal",29,3000,160
"RSA-CP (OT) (Ours)",0.935,8.11024197806298,0.0200000000000102,"LogNormal",29,3000,160
"SPI",0.9495,8.67245755805028,0.169999999999987,"LogNormal",29,3000,160
"Synthetic-only",0.9605,9.51368365280016,0,"LogNormal",29,3000,160
"SCP",0.939,5.38944821874087,0,"Student-t",29,3000,160
"RSA-CP (OT) (Ours)",0.9335,5.25004239540319,0.0200000000000102,"Student-t",29,3000,160
"SPI",0.9515,5.90337372851091,0.169999999999987,"Student-t",29,3000,160
"Synthetic-only",0.9905,10.8218393961036,0,"Student-t",29,3000,160
"SCP",0.927,7.83153058568776,0,"LogNormal",30,3000,160
"RSA-CP (OT) (Ours)",0.918,7.51146444294492,0.0199999999999818,"LogNormal",30,3000,160
"SPI",0.9295,7.93268862981308,0.170000000000016,"LogNormal",30,3000,160
"Synthetic-only",0.929,7.91650279566838,0,"LogNormal",30,3000,160
"SCP",0.956,6.11702550757556,0,"Student-t",30,3000,160
"RSA-CP (OT) (Ours)",0.952,5.95145558464036,0.0199999999999818,"Student-t",30,3000,160
"SPI",0.972,7.17526401854555,0.170000000000016,"Student-t",30,3000,160
"Synthetic-only",0.994,12.0051426911466,0,"Student-t",30,3000,160
"SCP",0.945,8.46267790726951,0,"LogNormal",31,3000,160
"RSA-CP (OT) (Ours)",0.938,8.19812873849669,0.00999999999999091,"LogNormal",31,3000,160
"SPI",0.954,9.13875739998615,0.180000000000007,"LogNormal",31,3000,160
"Synthetic-only",0.963,9.68779800017533,0,"LogNormal",31,3000,160
"SCP",0.9675,6.80602934231872,0,"Student-t",31,3000,160
"RSA-CP (OT) (Ours)",0.9615,6.44451280237726,0,"Student-t",31,3000,160
"SPI",0.974,7.45998186079339,0.170000000000016,"Student-t",31,3000,160
"Synthetic-only",0.99,10.6057204621886,0,"Student-t",31,3000,160
"SCP",0.9505,8.83888646372483,0,"LogNormal",32,3000,160
"RSA-CP (OT) (Ours)",0.9495,8.72686328798082,0,"LogNormal",32,3000,160
"SPI",0.965,9.90513351158798,0.189999999999998,"LogNormal",32,3000,160
"Synthetic-only",0.987,13.5232110256439,0.0200000000000102,"LogNormal",32,3000,160
"SCP",0.9545,6.0602858576856,0,"Student-t",32,3000,160
"RSA-CP (OT) (Ours)",0.9525,6.00359764777611,0.0100000000000193,"Student-t",32,3000,160
"SPI",0.965,6.67573443848885,0.169999999999987,"Student-t",32,3000,160
"Synthetic-only",0.9895,10.5180881394178,0,"Student-t",32,3000,160
"SCP",0.9165,7.47129688426211,0,"LogNormal",33,3000,160
"RSA-CP (OT) (Ours)",0.915,7.44177903069202,0,"LogNormal",33,3000,160
"SPI",0.9485,8.65522576359058,0.189999999999998,"LogNormal",33,3000,160
"Synthetic-only",0.987,13.4228486601137,0.0199999999999818,"LogNormal",33,3000,160
"SCP",0.9595,6.3666554336811,0,"Student-t",33,3000,160
"RSA-CP (OT) (Ours)",0.9535,6.00817476652394,0,"Student-t",33,3000,160
"SPI",0.9685,6.93724805455204,0.189999999999998,"Student-t",33,3000,160
"Synthetic-only",0.9945,12.1672488326951,0.00999999999999091,"Student-t",33,3000,160
"SCP",0.958,9.29423840894078,0,"LogNormal",34,3000,160
"RSA-CP (OT) (Ours)",0.953,9.0137573315339,0.00999999999999091,"LogNormal",34,3000,160
"SPI",0.9535,9.08002502905813,0.170000000000016,"LogNormal",34,3000,160
"Synthetic-only",0.9505,8.79724241956927,0,"LogNormal",34,3000,160
"SCP",0.972,7.19131379107109,0,"Student-t",34,3000,160
"RSA-CP (OT) (Ours)",0.9695,7.03588887132409,0.0199999999999818,"Student-t",34,3000,160
"SPI",0.9785,7.7687933231312,0.170000000000016,"Student-t",34,3000,160
"Synthetic-only",0.993,11.7674280507536,0,"Student-t",34,3000,160
"SCP",0.923,7.72334159840967,0,"LogNormal",35,3000,160
"RSA-CP (OT) (Ours)",0.9185,7.51971460606313,0,"LogNormal",35,3000,160
"SPI",0.928,7.87282809433326,0.230000000000018,"LogNormal",35,3000,160
"Synthetic-only",0.9655,9.97573863169831,0.0100000000000193,"LogNormal",35,3000,160
"SCP",0.939,5.39229452302398,0,"Student-t",35,3000,160
"RSA-CP (OT) (Ours)",0.933,5.21716152991008,0,"Student-t",35,3000,160
"SPI",0.9595,6.40781970482068,0.170000000000016,"Student-t",35,3000,160
"Synthetic-only",0.992,11.6057697358841,0,"Student-t",35,3000,160
"SCP",0.922,7.69475761071507,0,"LogNormal",36,3000,160
"RSA-CP (OT) (Ours)",0.9195,7.59691293322063,0,"LogNormal",36,3000,160
"SPI",0.9695,10.6023596510753,0.169999999999987,"LogNormal",36,3000,160
"Synthetic-only",0.9785,11.909368470775,0,"LogNormal",36,3000,160
"SCP",0.976,7.55615552424724,0,"Student-t",36,3000,160
"RSA-CP (OT) (Ours)",0.9715,7.15912962069859,0.0200000000000102,"Student-t",36,3000,160
"SPI",0.9895,10.2650521823226,0.169999999999987,"Student-t",36,3000,160
"Synthetic-only",0.9915,11.3422793950938,0,"Student-t",36,3000,160
"SCP",0.953,9.02861747127074,0,"LogNormal",37,3000,160
"RSA-CP (OT) (Ours)",0.9525,8.95496575840386,0.0100000000000193,"LogNormal",37,3000,160
"SPI",0.9655,9.97499686297986,0.179999999999978,"LogNormal",37,3000,160
"Synthetic-only",0.964,9.85813308579249,0,"LogNormal",37,3000,160
"SCP",0.9725,7.30971241535233,0,"Student-t",37,3000,160
"RSA-CP (OT) (Ours)",0.972,7.21664129482787,0.0100000000000193,"Student-t",37,3000,160
"SPI",0.977,7.58868513709272,0.169999999999987,"Student-t",37,3000,160
"Synthetic-only",0.9905,10.811511966044,0,"Student-t",37,3000,160
"SCP",0.929,7.92707712412097,0,"LogNormal",38,3000,160
"RSA-CP (OT) (Ours)",0.908,7.1842012682468,0.00999999999999091,"LogNormal",38,3000,160
"SPI",0.9565,9.22375112383835,0.180000000000007,"LogNormal",38,3000,160
"Synthetic-only",0.957,9.24956734337188,0,"LogNormal",38,3000,160
"SCP",0.952,5.946695168802,0,"Student-t",38,3000,160
"RSA-CP (OT) (Ours)",0.947,5.65914687407184,0.00999999999999091,"Student-t",38,3000,160
"SPI",0.967,6.74011668949826,0.170000000000016,"Student-t",38,3000,160
"Synthetic-only",0.9935,11.8349389410044,0,"Student-t",38,3000,160
"SCP",0.946,8.52643219957518,0,"LogNormal",39,3000,160
"RSA-CP (OT) (Ours)",0.942,8.36401131247386,0,"LogNormal",39,3000,160
"SPI",0.9505,8.77538617095906,0.189999999999998,"LogNormal",39,3000,160
"Synthetic-only",0.949,8.6718095715387,0,"LogNormal",39,3000,160
"SCP",0.9715,7.15664414117292,0,"Student-t",39,3000,160
"RSA-CP (OT) (Ours)",0.9675,6.80864873153851,0,"Student-t",39,3000,160
"SPI",0.9805,7.92788360124137,0.180000000000007,"Student-t",39,3000,160
"Synthetic-only",0.9915,11.1343626860657,0,"Student-t",39,3000,160
"SCP",0.9325,8.05455289497091,0,"LogNormal",40,3000,160
"RSA-CP (OT) (Ours)",0.9215,7.65419574373958,0.0200000000000102,"LogNormal",40,3000,160
"SPI",0.953,9.02317846660759,0.169999999999987,"LogNormal",40,3000,160
"Synthetic-only",0.954,9.10609149197798,0,"LogNormal",40,3000,160
"SCP",0.951,5.88095577469239,0,"Student-t",40,3000,160
"RSA-CP (OT) (Ours)",0.9475,5.67075579275873,0.0200000000000102,"Student-t",40,3000,160
"SPI",0.963,6.51629365997272,0.169999999999987,"Student-t",40,3000,160
"Synthetic-only",0.993,11.8046038029143,0,"Student-t",40,3000,160
"SCP",0.934,8.08283648464752,0,"LogNormal",41,3000,160
"RSA-CP (OT) (Ours)",0.93,7.96538903262688,0,"LogNormal",41,3000,160
"SPI",0.9495,8.67510052310656,0.180000000000007,"LogNormal",41,3000,160
"Synthetic-only",0.954,9.12263411263791,0.00999999999999091,"LogNormal",41,3000,160
"SCP",0.965,6.66735730980112,0,"Student-t",41,3000,160
"RSA-CP (OT) (Ours)",0.957,6.16628462880088,0,"Student-t",41,3000,160
"SPI",0.971,7.06877773497572,0.189999999999998,"Student-t",41,3000,160
"Synthetic-only",0.9925,11.6439114466683,0.0199999999999818,"Student-t",41,3000,160
